Time_ms,Piezo
447,0
467,0
487,0
507,0
528,0
548,0
569,695
589,0
610,0
630,0
651,0
670,0
691,0
711,0
732,629
752,0
773,0
793,0
814,0
833,0
854,0
874,0
894,0
915,0
935,0
956,0
976,0
996,0
1016,0
1037,713
1057,0
1078,0
1098,0
1119,0
1139,0
1160,0
1180,0
1201,195
1221,0
1242,0
1262,0
1282,0
1302,0
1323,0
1343,0
1363,141
1384,0
1404,0
1425,0
1445,0
1466,0
1486,0
1507,0
1527,843
1548,0
1567,0
1588,0
1608,0
1629,0
1649,0
1670,0
1690,854
1711,0
1731,0
1752,0
1772,0
1793,0
1813,0
1832,0
1853,796
1873,0
1894,0
1914,0
1935,0
1955,0
1976,0
1996,0
2017,225
2037,0
2058,0
2078,0
2099,0
2119,0
2139,0
2159,0
2180,0
2200,783
2221,0
2241,0
2262,0
2282,0
2302,0
2323,0
2343,0
2364,1
2384,170
2405,0
2424,0
2445,0
2465,0
2486,0
2506,0
2527,0
2547,224
2568,0
2588,0
2609,0
2629,0
2650,0
2670,0
2690,965
2710,1
2731,0
2751,0
2771,0
2792,0
2812,0
2833,0
2853,768
2874,0
2894,0
2915,0
2935,0
2956,0
2975,0
2996,0
3016,784
3037,0
3057,0
3078,0
3098,0
3119,0
3139,0
3160,0
3180,757
3201,0
3221,0
3241,0
3261,0
3281,0
3302,0
3322,0
3343,747
3363,0
3384,0
3404,0
3425,0
3445,0
3466,0
3486,0
3507,0
3527,679
3548,0
3567,0
3588,0
3608,0
3629,0
3649,0
3670,0
3690,0
3710,288
3731,0
3751,0
3772,0
3792,0
3813,0
3832,0
3853,0
3873,772
3894,0
3914,0
3935,0
3955,0
3976,0
3996,0
4017,0
4037,842
4058,0
4078,0
4099,0
4118,0
4139,0
4159,0
4179,0
4200,0
4220,0
4241,923
4261,0
4282,0
4302,0
4323,0
4343,0
4364,0
4383,0
4404,0
4424,0
4445,0
4465,0
4486,0
4506,0
4527,0
4547,0
4568,0
4588,0
4609,0
4628,529
4648,0
4669,0
4689,0
4710,0
4730,0
4751,0
4771,0
4792,727
4812,0
4833,0
4853,0
4874,0
4894,0
4914,0
4934,0
4955,702
4975,0
4996,0
5016,0
5037,0
5057,0
5078,0
5098,0
5118,0
5139,0
5159,210
5180,0
5199,0
5220,0
5240,0
5261,0
5281,0
5302,0
5322,0
5343,765
5363,0
5384,0
5404,0
5425,0
5445,0
5465,0
5485,0
5506,0
5526,1
5547,822
5567,0
5587,0
5608,0
5628,0
5649,0
5669,0
5690,0
5710,0
5730,0
5750,772
5771,0
5791,0
5812,0
5832,0
5853,0
5873,0
5894,0
5914,0
5935,833
5955,236
5976,0
5996,0
6017,0
6037,0
6056,0
6077,0
6097,0
6118,846
6138,0
6159,0
6179,0
6200,0
6220,0
6241,0
6261,0
6282,0
6302,761
6323,0
6342,0
6363,0
6383,0
6404,0
6424,0
6445,0
6465,0
6486,680
6506,0
6526,0
6547,0
6567,0
6588,0
6607,0
6628,0
6648,841
6669,0
6689,0
6710,0
6730,0
6751,0
6771,0
6792,0
6812,0
6833,840
6853,0
6874,0
6893,0
6914,0
6934,0
6955,0
6975,0
6995,833
7016,0
7036,0
7057,0
7077,0
7098,0
7118,0
7139,0
7158,0
7179,0
7199,323
7220,0
7240,0
7261,0
7281,0
7302,0
7322,0
7343,0
7363,0
7384,258
7404,0
7425,0
7445,0
7464,0
7485,0
7505,0
7526,0
7546,0
7567,634
7587,0
7608,0
7628,0
7649,0
7669,0
7690,0
7710,0
7730,0
7750,677
7771,3
7791,0
7812,0
7832,0
7853,0
7873,0
7894,0
7914,0
7934,0
7955,309
7975,0
7996,0
8015,0
8036,0
8056,0
8077,0
8097,0
8118,0
8138,0
8159,772
8179,0
8200,0
8220,0
8241,0
8261,0
8281,0
8301,0
8322,786
8342,0
8363,0
8383,0
8403,0
8424,0
8444,0
8465,0
8485,0
8506,0
8526,423
8547,0
8566,0
8587,0
8607,0
8628,0
8648,0
8669,0
8689,194
8710,0
8730,0
8751,0
8771,0
8792,0
8812,0
8832,0
8852,0
8872,850
